stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00715] added dtor for sub_bitmap 0000000000dae020, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00717] added dtor for sub_bitmap 0000000000dad220, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00719] added dtor for sub_bitmap 0000000000dad3e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00721] added dtor for sub_bitmap 0000000000dad5a0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00724] added dtor for sub_bitmap 0000000000dae8e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00726] added dtor for sub_bitmap 0000000000dadae0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00736] added dtor for sub_bitmap 0000000000dae1e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00740] added dtor for sub_bitmap 0000000000dade60, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00744] added dtor for sub_bitmap 0000000000dad060, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00746] added dtor for sub_bitmap 0000000000dadca0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00748] added dtor for sub_bitmap 0000000000dad760, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00751] added dtor for sub_bitmap 0000000000dae3a0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00753] added dtor for sub_bitmap 0000000000daeaa0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00755] added dtor for sub_bitmap 0000000000dae560, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00758] added dtor for sub_bitmap 0000000000dad920, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00760] added dtor for sub_bitmap 0000000000dae720, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00762] added dtor for sub_bitmap 0000000000daec60, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00766] added dtor for sub_bitmap 0000000000dacea0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00771] added dtor for sub_bitmap 0000000000e2c650, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00773] added dtor for sub_bitmap 0000000000e2c110, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00775] added dtor for sub_bitmap 0000000000e2c2d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00777] added dtor for sub_bitmap 0000000000e2bf50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00779] added dtor for sub_bitmap 0000000000e2cd50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00781] added dtor for sub_bitmap 0000000000e2d290, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00785] added dtor for sub_bitmap 0000000000e2d450, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00789] added dtor for sub_bitmap 0000000000e2db50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00791] added dtor for sub_bitmap 0000000000e2c490, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00793] added dtor for sub_bitmap 0000000000e2c810, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00795] added dtor for sub_bitmap 0000000000e2dd10, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00797] added dtor for sub_bitmap 0000000000e2d610, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00799] added dtor for sub_bitmap 0000000000e2d990, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00801] added dtor for sub_bitmap 0000000000e2c9d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00803] added dtor for sub_bitmap 0000000000e2cb90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00805] added dtor for sub_bitmap 0000000000e2d7d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00807] added dtor for sub_bitmap 0000000000e2cf10, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00811] added dtor for sub_bitmap 0000000000e2d0d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00815] added dtor for sub_bitmap 0000000000e2ecb0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00819] added dtor for sub_bitmap 0000000000e2f030, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00823] added dtor for sub_bitmap 0000000000e2f1f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00825] added dtor for sub_bitmap 0000000000e2f3b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00828] added dtor for sub_bitmap 0000000000e2ee70, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00830] added dtor for sub_bitmap 0000000000e2f8f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00834] added dtor for sub_bitmap 0000000000e2e770, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00836] added dtor for sub_bitmap 0000000000e30530, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00838] added dtor for sub_bitmap 0000000000e2fab0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00840] added dtor for sub_bitmap 0000000000e301b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00844] added dtor for sub_bitmap 0000000000e2fc70, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00848] added dtor for sub_bitmap 0000000000e30370, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00850] added dtor for sub_bitmap 0000000000e2f570, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00852] added dtor for sub_bitmap 0000000000e2f730, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00854] added dtor for sub_bitmap 0000000000e2e930, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00856] added dtor for sub_bitmap 0000000000e2fe30, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00862] added dtor for sub_bitmap 0000000000e2fff0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00865] added dtor for sub_bitmap 0000000000e2eaf0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00873] added dtor for sub_bitmap 0000000000e32810, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00877] added dtor for sub_bitmap 0000000000e31f50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00880] added dtor for sub_bitmap 0000000000e329d0, func 00007ffd74781bf8
